"用户ID","特征","清洁效率","耗材","对比","时间"
"1001","65m²公寓 | 单身 | 木地板","覆盖率: 85%\n日均清扫: 45m²\n漏扫区域: 沙发底部（高度不足）","主刷寿命: 剩余60天\nHEPA滤网: 剩余40%","优于60%同面积用户（清洁频率更稳定）","2025-01"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率: 83%\n手动辅助清扫: 2次/月\n定时清扫使用率: 65%","电池衰减: 16%\n边刷寿命: 剩余40天","大户型中操作便捷性优于同类18%","2025-02"
"1001","65m²公寓 | 单身 | 木地板","覆盖率: 87%\n日均清扫: 47m²\n漏扫区域: 沙发底部（高度不足）","主刷寿命: 剩余50天\nHEPA滤网: 剩余30%","优于70%同面积用户（清洁频率更稳）","2025-03"
"1002","70m²公寓 | 情侣 | 瓷砖","覆盖率: 88%\n避障失败: 2次/周（电线+数据线）","边刷磨损: 重度-\n尘盒清理: 每2天","拖地功能使用率提升但仍低于同类30%","2025-03"
"1003","90m² | 1猫 | 短毛地毯","毛发清理: 91%\n地毯增压使用: 16次/月","刷头缠绕: 已更换\n尘盒容量: 每日清理","毛发处理效率前15%","2025-03"
"1004","85m² | 2猫 | 混合地面","猫砂泼洒处理: 7次/月\n自动回充成功率: 88%","主刷缠绕: 严重\n滤网更换: 已更换","升级吸力后清洁效率提升5%","2025-03"
"1005","120m² | 老人 | 防滑砖","手动操作占比: 93%\n定时清扫使用率: 2次/周","电池衰减: 27%\n水箱首次激活: 使用1次","语音控制功能已预约安装","2025-03"
"1006","150m²别墅 | 儿童 | 多层","跨楼层失败: 2次/月\n玩具避障率: 78%","边刷更换: 1次/季度\n集尘袋消耗: 1个/月","机械臂避让已加装+跨楼层导航优化","2025-03"
"1007","55m²一居 | 独居 | 复合地板","覆盖率: 92%\n日均清扫: 37m²\n沿边清扫无死角","滤网寿命: 剩余70天\n尘盒清理: 每4天","清洁效率优于75%小户型用户","2025-03"
"1008","100m²三居 | 三口之家 | 大理石","覆盖率: 88%\n餐桌区域漏扫: 0次/天\n避障成功率: 92%","主刷磨损: 中度-\n水箱加水: 每日1次","大理石地面清洁效果与同类持平","2025-03"
"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理: 88%\n自动回充成功率: 94%","胶刷缠绕: 轻度+\n滤网更换: 剩余20天","养宠家庭中清洁效率处于上等水平","2025-03"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率: 85%\n手动辅助清扫: 2次/月\n定时清扫使用率: 70%","电池衰减: 17%\n边刷寿命: 剩余35天","大户型中操作便捷性与同类持平","2025-03"
"1001","65m²公寓 | 单身 | 木地板","覆盖率: 88%\n日均清扫: 48m²\n漏扫区域: 无（沙发底部抬高）","主刷寿命: 剩余45天\nHEPA滤网: 剩余25%","优于75%同面积用户（清洁近乎无死角）","2025-04"
"1002","70m²公寓 | 情侣 | 瓷砖","覆盖率: 89%\n避障失败: 1次/周（电线）","边刷磨损: 中度\n尘盒清理: 每3天","拖地功能使用率提升至同类平均水平","2025-04"
"1003","90m² | 1猫 | 短毛地毯","毛发清理: 93%\n地毯增压使用: 17次/月","刷头缠绕: 剩余50天\n尘盒容量: 每2日清理","毛发处理效率前10%","2025-04"
"1004","85m² | 2猫 | 混合地面","猫砂泼洒处理: 6次/月\n自动回充成功率: 90%","主刷缠绕: 中度\n滤网更换: 剩余55天","升级后对细颗粒垃圾处理明显改善","2025-04"
"1005","120m² | 老人 | 防滑砖","手动操作占比: 90%\n语音控制调用: 12次/月","电池衰减: 27%\n水箱使用: 每周1次","老人家庭使用门槛下降明显","2025-04"
"1006","150m²别墅 | 儿童 | 多层","跨楼层失败: 1次/月\n玩具避障率: 82%","边刷更换: 正常\n集尘袋消耗: 1个/月","跨楼层路径规划优于同类大户型方案","2025-04"
"1007","55m²一居 | 独居 | 复合地板","覆盖率: 93%\n日均清扫: 38m²\n沿边清扫无死角","滤网寿命: 剩余65天\n尘盒清理: 每5天","清洁效率优于78%小户型用户","2025-04"
"1008","100m²三居 | 三口之家 | 大理石","覆盖率: 89%\n餐桌区域漏扫: 0次/周\n避障成功率: 93%","主刷磨损: 中度\n水箱加水: 每日1次","家庭高频用餐场景下表现稳定","2025-04"
"1009","80m²两居 | 养宠 | 仿实木","宠物毛发清理: 89%\n自动回充成功率: 95%","胶刷缠绕: 轻度\n滤网更换: 剩余18天","养宠家庭地面毛发控制能力持续提升","2025-04"
"1010","130m²四居 | 三代同堂 | 通体砖","覆盖率: 86%\n手动辅助清扫: 1次/月\n定时清扫使用率: 72%","电池衰减: 18%\n边刷寿命: 剩余30天","大户型连续清扫稳定性优于同类20%","2025-04"
